 ;20161215;081202;1010904:
 ;20161215;083843;:
 ;20161215;083848;1010302:
 ;20161215;085356;:
 ;20161215;090813;1010303:
 ;20161215;091735;1010510:
 ;20161215;091857;:
 ;20161215;091903;:
 ;20161215;091911;1010403:
 ;20161215;092106;1010104:
 ;20161215;092112;1010202:
 ;20161215;092414;1010404:
 ;20161215;092557;1010702:
 ;20161215;093048;1010703:
 ;20161215;093052;:
 ;20161215;093057;1010601:
 ;20161215;093129;1010602:
 ;20161215;093837;1010102:
 ;20161215;094138;1010908:
 ;20161215;094449;1010305:
 ;20161215;094647;1010402:
 ;20161215;095146;1010301:
 ;20161215;095359;1010304:
 ;20161215;095832;1010603:
 ;20161215;102719;1010909:
 ;20161215;102754;1010405:
 ;20161215;103010;1010701:
 ;20161215;105142;:
 ;20161215;105147;:
 ;20161215;112015;:
 ;20161215;113959;:
 ;20161215;122425;:
 ;20161215;125833;1010401:
 ;20161215;145917;1010204:
 ;20161215;153436;:
 ;20161215;175747;1010702:
 ;20161215;202710;:
 ;20161215;210326;:
 ;20161215;210409;:
 ;20161215;213543;:
